PlayerName,YearMeasured,HeightwoShoes,Heightwshoes,Weight,Wingspan,StandingReach,BodyFat,HandLength,HandWidth,NoStepVert,NoStepVertReach,MaxVert,MaxVertReach,Bench,Agility,Sprint
Aakim Saintil,2012,69.75,NA,160,73.75,92.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaric Murray,2011,NA,82.75,249,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaric Murray,2011,NA,82.75,249,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaric Murray,2014,81,NA,250,86.5,111.5,NA,NA,NA,25.5,137,NA,NA,NA,12.62,3.56
Aaron Brooks,2007,70.5,71.75,161,76,94,2.7,NA,NA,32.5,126.5,39.5,133.5,6,10.57,3.2
Aaron Bruce,2008,73.75,74.5,182,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Craft,2013,NA,74.5,194,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Craft,2013,NA,74.5,194,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Craft,2014,72.75,73.75,192,74,94.5,6.1,7.75,8.5,29,123.5,32,126.5,NA,10.78,3.26
Aaron Craft,2015,72.5,73.75,198,74,94.5,NA,NA,NA,27.5,122,33.5,128,NA,10.93,3.3
Aaron Epps,2015,80,81.5,220,84,107,8.6,8.5,8.75,32,139,41,148,10,11.88,3.13
Aaron Falzon,2013,79,NA,222,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Falzon,2014,NA,80,214,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Falzon,2014,NA,80,214,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Gordon,2011,NA,80,207,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Gordon,2013,78,79,220,83,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Gordon,2013,NA,81,212,83.5,106.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Gordon,2014,79.5,80.75,220,83.75,105,5.1,8.75,10.5,32.5,137.5,39,144,NA,10.81,3.27
Aaron Gray,2006,84,85,280,87,109,15,NA,NA,26.5,135.5,30.5,139.5,17,12.63,3.71
Aaron Gray,2007,84,85.75,271,87.25,108.5,15,NA,NA,27,135.5,32.5,141,17,12.07,3.7
Aaron Harrison,2011,NA,78,200,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Harrison,2012,76,NA,213,80,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Harrison,2012,NA,77,212,79.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Harrison,2013,NA,77,210,80,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Harrison,2014,77.25,78.25,212,80,100,4.9,8.75,10.5,30.5,130.5,38,138,12,10.87,3.2
Aaron Harrison,2015,76.5,78,209,80.25,100.5,6,8.3,10,28.5,129,34.5,135,NA,NA,3.27
Aaron Harrison,2015,76.5,78,209.2,80.25,100.5,6,8.75,10,NA,NA,NA,NA,NA,NA,NA
Aaron Holiday,2013,71,NA,179,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Holiday,2014,NA,73,187,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Holiday,2014,NA,71,187,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Jackson,2009,75,76.5,182,75.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
